date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:40	3720/3720	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Apr%202024%2016:18:39%20GMT	http://127.0.0.1:8000/robots.txt		(from )
19:48:41	14154/14154	---M--	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202024%2016:18:40%20GMT	http://127.0.0.1:8000/	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/index.html	(from )
19:48:41	3735/3735	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Apr%202024%2016:18:41%20GMT	http://127.0.0.1:8000/img/favicon.ico	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/img/favicon.0.delayed	(from http://127.0.0.1:8000/)
19:48:42	3762/3762	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Apr%202024%2016:18:42%20GMT	http://127.0.0.1:8000/img/apple-touch-icon.png	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/img/apple-touch-icon.1.delayed	(from http://127.0.0.1:8000/)
19:48:47	160392/160392	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Aug%202022%2015:34:39%20GMT	http://127.0.0.1:8000/static/vendor/bootstrap/css/bootstrap.min.css	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/static/vendor/bootstrap/css/bootstrap.min.css	(from http://127.0.0.1:8000/)
19:48:47	59344/59344	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Aug%202022%2015:34:39%20GMT	http://127.0.0.1:8000/static/vendor/fontawesome-free/css/all.min.css	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/static/vendor/fontawesome-free/css/all.min.css	(from http://127.0.0.1:8000/)
19:48:49	70607/70607	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Aug%202022%2015:34:39%20GMT	http://127.0.0.1:8000/static/vendor/animate/animate.compat.css	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/static/vendor/animate/animate.compat.css	(from http://127.0.0.1:8000/)
19:48:51	10943/10943	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Aug%202022%2015:34:39%20GMT	http://127.0.0.1:8000/static/vendor/simple-line-icons/css/simple-line-icons.min.css	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/static/vendor/simple-line-icons/css/simple-line-icons.min.css	(from http://127.0.0.1:8000/)
19:48:51	3351/3351	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Aug%202022%2015:34:39%20GMT	http://127.0.0.1:8000/static/vendor/owl.carousel/assets/owl.carousel.min.css	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/static/vendor/owl.carousel/assets/owl.carousel.min.css	(from http://127.0.0.1:8000/)
19:48:51	1732/1732	---MC-	200	added ('OK')	text/css	date:Wed,%2010%20Apr%202024%2016:18:43%20GMT	https://fonts.googleapis.com/css?family=Poppins:300,400,500,600,700,800%7CShadows+Into+Light%7CPlayfair+Display:400&display=swap	/home/saleh/websites/bitparsersHTMLOnly/fonts.googleapis.com/css507a.css	(from http://127.0.0.1:8000/)
19:48:51	1013/1013	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Aug%202022%2015:34:39%20GMT	http://127.0.0.1:8000/static/vendor/owl.carousel/assets/owl.theme.default.min.css	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/static/vendor/owl.carousel/assets/owl.theme.default.min.css	(from http://127.0.0.1:8000/)
19:48:52	5235/5235	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Aug%202022%2015:34:39%20GMT	http://127.0.0.1:8000/static/vendor/magnific-popup/magnific-popup.min.css	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/static/vendor/magnific-popup/magnific-popup.min.css	(from http://127.0.0.1:8000/)
19:48:57	193394/193394	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Aug%202022%2015:34:39%20GMT	http://127.0.0.1:8000/static/css/theme.css	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/static/css/theme.css	(from http://127.0.0.1:8000/)
19:48:59	5693/5693	---M--	200	added ('OK')	text/css	date:Sat,%2020%20Aug%202022%2015:34:39%20GMT	http://127.0.0.1:8000/static/css/theme-blog.css	/home/saleh/websites/bitparsersHTMLOnly/127.0.0.1_8000/static/css/theme-blog.css	(from http://127.0.0.1:8000/)
